unidad,tipo_unidad,sector,nombre,email,rut,telefono,tipo_vinculo,es_residente,recibe_notificaciones,es_responsable,estacionamiento1,estacionamiento2,estacionamiento3,patente1,tipo_vehiculo1,marca1,modelo1,color1,patente2,tipo_vehiculo2,marca2,modelo2,color2,est2,patente3,tipo_vehiculo3,marca3,modelo3,color3,est3,bodega1,bodega2,bodega3
56,CASA,sector 3,Joaquin Torres Ortiz,residente1casa56@vista.cl,15.719.285-K,56931127115,PROPIETARIO,SI,SI,SI,E-56,,,KDQA77,AUTO,Hyundai,Accent,Negro,,,,,,,,,,,,,,,
56,CASA,sector 3,Martin Flores Lagos,residente2casa56@vista.cl,15.442.241-2,56986181117,RESIDENTE_ADICIONAL,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
57,CASA,sector 3,Emilia Catalan Soto,propietario_casa57@vista.cl,14.565.128-K,56969473616,PROPIETARIO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
57,CASA,sector 3,Sofia Ortiz Flores,residente1casa57@vista.cl,13.543.918-5,56928419343,ARRENDATARIO,SI,SI,SI,E-57,,,KFNI24,AUTO,Volkswagen,Gol,Gris,MRBK86,AUTO,Ford,EcoSport,Blanco,,,,,,,,,,
57,CASA,sector 3,Carlos Núñez Hernandez,residente3casa57@vista.cl,15.504.979-0,56926104026,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
57,CASA,sector 3,Maite Martinez Carrasco,residente4casa57@vista.cl,18.935.249-2,56940884937,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
58,CASA,sector 3,Cristian Alvarez Fuentes,residente1casa58@vista.cl,11.478.574-1,56968614462,PROPIETARIO,SI,SI,SI,E-58,,,LCIL61,AUTO,Toyota,Yaris,Azul,CAIU89,CAMIONETA,Ford,Ranger,Plata,,,,,,,,,,
59,CASA,sector 3,Alonso Silva Briones,residente1casa59@vista.cl,18.555.575-5,56936025314,PROPIETARIO,SI,SI,SI,E-59,,,WTFU19,AUTO,Volkswagen,T-Cross,Rojo,,,,,,,,,,,,,,,
59,CASA,sector 3,Marcelo Cortes Cortes,residente2casa59@vista.cl,22.203.396-9,56996629889,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
60,CASA,sector 3,Javier Sepulveda Moreno,propietario_casa60@vista.cl,22.736.463-7,56997980930,PROPIETARIO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
60,CASA,sector 3,Hernan Campos Ramos,residente1casa60@vista.cl,17.783.840-3,56985663295,ARRENDATARIO,SI,SI,SI,E-60,,,,,,,,,,,,,,,,,,,,,,
61,CASA,sector 3,Tomas Rojas Diaz,residente1casa61@vista.cl,16.186.390-4,56948530827,PROPIETARIO,SI,SI,SI,E-61,,,ZIZI66,AUTO,Peugeot,3008,Blanco,HHBN49,AUTO,Volkswagen,Gol,Plata,,,,,,,,,,
61,CASA,sector 3,Catalina Rios Soto,residente2casa61@vista.cl,20.318.128-0,56989736043,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
62,CASA,sector 3,Andres Tapia Tapia,residente1casa62@vista.cl,18.792.411-1,56980162053,PROPIETARIO,SI,SI,SI,E-62,,,OEPN17,AUTO,Suzuki,Baleno,Plata,VZCQ15,AUTO,Hyundai,Tucson,Negro,,,,,,,,,,
62,CASA,sector 3,Rodrigo Morales Fuentes,residente2casa62@vista.cl,16.255.418-2,56947969333,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
62,CASA,sector 3,Juan Molina Diaz,residente3casa62@vista.cl,23.241.030-2,56994676162,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
63,CASA,sector 3,Natalia Núñez Lagos,propietario_casa63@vista.cl,24.286.911-7,56998122539,PROPIETARIO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
63,CASA,sector 3,Lucas Henriquez Fuentes,residente1casa63@vista.cl,10.305.857-0,56958667035,ARRENDATARIO,SI,SI,SI,E-63,,,IPDJ93,AUTO,Renault,Clio,Azul,PYIJ52,AUTO,Ford,EcoSport,Verde,,VTRN92,AUTO,Hyundai,Accent,Azul,,,,
63,CASA,sector 3,Barbara Reyes Ortiz,residente3casa63@vista.cl,15.733.317-8,56975266178,RESIDENTE_ADICIONAL,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
64,CASA,sector 3,Alvaro Contreras Henriquez,propietario_casa64@vista.cl,22.933.131-0,56982446804,PROPIETARIO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
64,CASA,sector 3,Camila Tapia Herrera,residente1casa64@vista.cl,14.780.297-8,56970254091,ARRENDATARIO,SI,SI,SI,E-64,,,ITDJ30,MOTO,Volkswagen,T-Cross,Negro,VELK96,AUTO,Honda,Civic,Azul,,,,,,,,,,
64,CASA,sector 3,Fernanda Aguilera Mendez,residente3casa64@vista.cl,15.192.009-8,56972950208,RESIDENTE_ADICIONAL,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
65,CASA,sector 3,Mauricio Núñez Diaz,residente1casa65@vista.cl,20.757.199-7,56974503785,PROPIETARIO,SI,SI,SI,E-65,,,JNZV87,AUTO,Subaru,XV,Negro,,,,,,,,,,,,,,,
65,CASA,sector 3,Mauricio Fuentes Sandoval,residente2casa65@vista.cl,11.721.170-3,56979244185,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
66,CASA,sector 3,Cristian Olivares Rios,residente1casa66@vista.cl,15.625.238-7,56929602406,PROPIETARIO,SI,SI,SI,E-66,,,CXVX13,AUTO,Hyundai,Accent,Plata,JKCF50,AUTO,Toyota,Yaris,Blanco,,,,,,,,,,
66,CASA,sector 3,Javiera Rojas Hernandez,residente2casa66@vista.cl,23.921.089-9,56973411827,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
67,CASA,sector 3,Valentina Muñoz Núñez,residente1casa67@vista.cl,13.618.086-K,56930068183,PROPIETARIO,SI,SI,SI,E-67,,,,,,,,,,,,,,,,,,,,,,
67,CASA,sector 3,Diego Lagos Molina,residente2casa67@vista.cl,18.854.536-K,56966808292,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
68,CASA,sector 3,Camila Olivares Sepulveda,residente1casa68@vista.cl,14.886.733-K,56967611469,PROPIETARIO,SI,SI,SI,E-68,,,CXPA75,AUTO,Renault,Clio,Rojo,,,,,,,,,,,,,,,
69,CASA,sector 3,Felipe Torres Reyes,propietario_casa69@vista.cl,21.146.300-7,56999686286,PROPIETARIO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
69,CASA,sector 3,Martin Perez Briones,residente1casa69@vista.cl,19.128.180-2,56978092370,ARRENDATARIO,SI,SI,SI,E-69,,,,,,,,,,,,,,,,,,,,,,
69,CASA,sector 3,Alvaro Henriquez Sandoval,residente3casa69@vista.cl,10.341.153-K,56962405812,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
70,CASA,sector 3,Alonso Reyes Martinez,residente1casa70@vista.cl,11.058.651-5,56971428713,PROPIETARIO,SI,SI,SI,E-70,,,ITQU52,AUTO,Mazda,CX-5,Negro,IQVR99,AUTO,Toyota,Yaris,Plata,,,,,,,,,,
70,CASA,sector 3,Martina Hernandez Castro,residente2casa70@vista.cl,10.734.947-2,56936772387,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
71,CASA,sector 3,Maite Ramos Alvarez,residente1casa71@vista.cl,18.347.057-4,56959304469,PROPIETARIO,SI,SI,SI,E-71,,,TEJU93,AUTO,Volkswagen,Gol,Gris,JXTX59,CAMIONETA,Chevrolet,Colorado,Gris,,,,,,,,,,
71,CASA,sector 3,Claudio Briones Vergara,residente2casa71@vista.cl,23.441.034-2,56921087928,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
72,CASA,sector 3,Tomas Cortes Tapia,residente1casa72@vista.cl,10.710.601-4,56957319709,PROPIETARIO,SI,SI,SI,E-72,,,IHLS31,AUTO,Nissan,Qashqai,Azul,,,,,,,,,,,,,,,
72,CASA,sector 3,Rodrigo Vargas Vergara,residente2casa72@vista.cl,20.728.514-5,56917698469,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
72,CASA,sector 3,Martin Henriquez Acosta,residente3casa72@vista.cl,21.398.618-K,56931473054,RESIDENTE_ADICIONAL,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
73,CASA,sector 4,Catalina Mendez Rios,residente1casa73@vista.cl,16.145.971-2,56958607028,PROPIETARIO,SI,SI,SI,E-73,,,,,,,,,,,,,,,,,,,,,,
73,CASA,sector 4,Joaquin Pizarro Rojas,residente2casa73@vista.cl,20.151.806-7,56930594121,RESIDENTE_ADICIONAL,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
73,CASA,sector 4,Martin Tapia Moreno,residente3casa73@vista.cl,11.289.923-5,56987030477,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
74,CASA,sector 4,Vicente Olivares Perez,residente1casa74@vista.cl,19.227.420-6,56982769008,PROPIETARIO,SI,SI,SI,E-74,,,MKOG43,AUTO,Toyota,Corolla,Azul,PSZF27,AUTO,Suzuki,Baleno,Verde,,XLCR50,CAMIONETA,Toyota,Hilux,Azul,,,,
74,CASA,sector 4,Natalia Flores Morales,residente2casa74@vista.cl,21.942.175-3,56995590648,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
75,CASA,sector 4,Maximo Pizarro Perez,residente1casa75@vista.cl,12.102.634-1,56952550733,PROPIETARIO,SI,SI,SI,E-75,,,AOJU80,AUTO,Chevrolet,Sail,Negro,BKSM62,AUTO,Renault,Clio,Verde,,,,,,,,,,
75,CASA,sector 4,Gabriel Perez Tapia,residente2casa75@vista.cl,17.815.384-6,56979438885,RESIDENTE_ADICIONAL,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
75,CASA,sector 4,Hernan Sandoval Campos,residente3casa75@vista.cl,19.861.412-2,56934422678,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
76,CASA,sector 4,Cristobal Rios Morales,residente1casa76@vista.cl,19.928.898-9,56987933054,PROPIETARIO,SI,SI,SI,E-76,,,EISI76,AUTO,Volkswagen,T-Cross,Gris,QODH78,CAMIONETA,Toyota,Hilux,Blanco,,,,,,,,,,
76,CASA,sector 4,Trinidad Morales Lopez,residente2casa76@vista.cl,20.477.022-0,56991220369,RESIDENTE_ADICIONAL,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
76,CASA,sector 4,Martina Muñoz Soto,residente3casa76@vista.cl,10.762.722-7,56996094462,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
77,CASA,sector 4,Barbara Ortiz Perez,residente1casa77@vista.cl,21.553.018-3,56918041391,PROPIETARIO,SI,SI,SI,E-77,,,QHYM97,AUTO,Toyota,Corolla,Plata,,,,,,,,,,,,,,,
77,CASA,sector 4,Josefa Tapia Torres,residente2casa77@vista.cl,18.124.385-6,56972336371,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
78,CASA,sector 4,Mauricio Morales Espinoza,residente1casa78@vista.cl,19.691.980-5,56951971886,PROPIETARIO,SI,SI,SI,E-78,,,DJOI69,AUTO,Mazda,CX-5,Blanco,DBYW63,CAMIONETA,Chevrolet,Colorado,Negro,,,,,,,,,,
78,CASA,sector 4,Antonia Moreno Morales,residente2casa78@vista.cl,18.359.508-3,56979085198,RESIDENTE_ADICIONAL,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
78,CASA,sector 4,Santiago Muñoz Soto,residente3casa78@vista.cl,16.597.509-K,56977839607,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
79,CASA,sector 4,Gonzalo Núñez Lagos,residente1casa79@vista.cl,16.136.730-3,56964123845,PROPIETARIO,SI,SI,SI,E-79,,,RMNW65,AUTO,Renault,Clio,Negro,,,,,,,,,,,,,,,
80,CASA,sector 4,Rodrigo Silva Martinez,residente1casa80@vista.cl,11.622.046-6,56962868861,PROPIETARIO,SI,SI,SI,E-80,,,HKLO89,AUTO,Kia,Sportage,Azul,,,,,,,,,,,,,,,
80,CASA,sector 4,Martin Valdes Sandoval,residente2casa80@vista.cl,16.133.857-5,56929363237,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
81,CASA,sector 4,Benjamin Vega Briones,residente1casa81@vista.cl,17.666.995-0,56929990477,PROPIETARIO,SI,SI,SI,E-81,,,,,,,,,,,,,,,,,,,,,,
82,CASA,sector 4,Cristobal Aguilera Ramos,residente1casa82@vista.cl,21.890.680-K,56985554415,PROPIETARIO,SI,SI,SI,E-82,,,KQVP74,AUTO,Renault,Clio,Verde,,,,,,,,,,,,,,,
82,CASA,sector 4,Barbara Vega Muñoz,residente2casa82@vista.cl,16.180.018-K,56954458225,RESIDENTE_ADICIONAL,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
83,CASA,sector 4,Roberto Catalan Mendez,residente1casa83@vista.cl,10.529.665-7,56986849080,PROPIETARIO,SI,SI,SI,E-83,,,PGRZ84,AUTO,Honda,Civic,Rojo,PEQQ58,AUTO,Chevrolet,Sail,Negro,,,,,,,,,,
83,CASA,sector 4,Pedro Silva Castro,residente2casa83@vista.cl,10.317.716-2,56969195194,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
83,CASA,sector 4,Pedro Ortiz Torres,residente3casa83@vista.cl,18.419.134-2,56992071195,RESIDENTE_ADICIONAL,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
84,CASA,sector 4,Agustina Sandoval Espinoza,residente1casa84@vista.cl,21.110.322-1,56974205866,PROPIETARIO,SI,SI,SI,E-84,,,,,,,,,,,,,,,,,,,,,,
85,CASA,sector 4,Rodrigo Vega Castro,residente1casa85@vista.cl,14.135.904-5,56947447604,PROPIETARIO,SI,SI,SI,E-85,,,JUSQ98,AUTO,Peugeot,208,Gris,,,,,,,,,,,,,,,
85,CASA,sector 4,Diego Flores Gutierrez,residente2casa85@vista.cl,14.993.143-0,56948789478,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
86,CASA,sector 4,Claudio Sepulveda Hernandez,residente1casa86@vista.cl,10.705.758-7,56948605090,PROPIETARIO,SI,SI,SI,E-86,,,DRJZ54,CAMIONETA,Mitsubishi,L200,Verde,,,,,,,,,,,,,,,
86,CASA,sector 4,Andres Soto Cortes,residente2casa86@vista.cl,17.421.839-0,56998043078,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
87,CASA,sector 4,Diego Morales Torres,residente1casa87@vista.cl,20.953.723-0,56973847325,PROPIETARIO,SI,SI,SI,E-87,,,CTGB77,AUTO,Honda,Civic,Negro,CIMR27,CAMIONETA,Ford,Ranger,Blanco,,,,,,,,,,
87,CASA,sector 4,Facundo Rios Castro,residente2casa87@vista.cl,22.682.083-3,56948553376,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
88,CASA,sector 4,Cristian Rivera Ramos,residente1casa88@vista.cl,13.125.790-2,56948851599,PROPIETARIO,SI,SI,SI,E-88,,,WAXK32,AUTO,Peugeot,208,Blanco,,,,,,,,,,,,,,,
89,CASA,sector 4,Cristobal Ortiz Vergara,residente1casa89@vista.cl,13.234.838-3,56925119192,PROPIETARIO,SI,SI,SI,E-89,,,ILQN27,AUTO,Hyundai,Tucson,Verde,,,,,,,,,,,,,,,
90,CASA,sector 4,Patricio Campos Rivera,residente1casa90@vista.cl,23.874.586-1,56967405358,PROPIETARIO,SI,SI,SI,E-90,,,TUOT32,AUTO,Honda,Civic,Rojo,,,,,,,,,,,,,,,
90,CASA,sector 4,Cristobal Espinoza Soto,residente2casa90@vista.cl,16.724.865-9,56999826000,RESIDENTE_ADICIONAL,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
90,CASA,sector 4,Facundo Espinoza Mendez,residente3casa90@vista.cl,10.114.590-5,56945002007,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
91,CASA,sector 4,Agustin Catalan Henriquez,residente1casa91@vista.cl,24.894.836-1,56951738753,PROPIETARIO,SI,SI,SI,E-91,,,QSBD49,MOTO,Peugeot,3008,Negro,,,,,,,,,,,,,,,
91,CASA,sector 4,Pedro Silva Campos,residente2casa91@vista.cl,14.949.909-1,56959330907,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
92,CASA,sector 4,Miguel Molina Fuentes,propietario_casa92@vista.cl,16.976.731-9,56983717007,PROPIETARIO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
92,CASA,sector 4,Felipe Aguilera Sepulveda,residente1casa92@vista.cl,12.760.475-4,56954039203,ARRENDATARIO,SI,SI,SI,E-92,,,RFGT20,AUTO,Subaru,XV,Rojo,JXCV74,AUTO,Suzuki,Baleno,Negro,,,,,,,,,,
93,CASA,sector 4,Sofia Acosta Ortiz,residente1casa93@vista.cl,19.702.453-4,56919801857,PROPIETARIO,SI,SI,SI,E-93,,,CNVL75,AUTO,Honda,Civic,Plata,ORIA42,AUTO,Suzuki,Baleno,Verde,,,,,,,,,,
93,CASA,sector 4,Martina Vargas Cortes,residente2casa93@vista.cl,21.750.508-9,56918557710,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
94,CASA,sector 4,Marcelo Carrasco Tapia,residente1casa94@vista.cl,24.589.807-K,56960666702,PROPIETARIO,SI,SI,SI,E-94,,,TTZQ63,AUTO,Nissan,Versa,Gris,,,,,,,,,,,,,,,
94,CASA,sector 4,Joaquin Soto Catalan,residente2casa94@vista.cl,21.103.036-4,56982383656,RESIDENTE_ADICIONAL,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
94,CASA,sector 4,Florencia Reyes Aguilera,residente3casa94@vista.cl,16.594.429-1,56980980044,RESIDENTE_ADICIONAL,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
95,CASA,sector 4,Miguel Rojas Rivera,residente1casa95@vista.cl,17.364.573-2,56941452485,PROPIETARIO,SI,SI,SI,E-95,,,ONVG54,AUTO,Suzuki,Baleno,Negro,WTAR88,CAMIONETA,Chevrolet,Colorado,Verde,,BPLR16,AUTO,Toyota,Corolla,Negro,,,,
95,CASA,sector 4,Sebastian Ortiz Moreno,residente2casa95@vista.cl,24.490.988-4,56917575790,RESIDENTE_ADICIONAL,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
95,CASA,sector 4,Fernanda Lagos Pizarro,residente3casa95@vista.cl,15.350.316-8,56987507357,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
96,CASA,sector 4,Franco Briones Gutierrez,residente1casa96@vista.cl,16.938.388-K,56950332555,PROPIETARIO,SI,SI,SI,E-96,,,,,,,,,,,,,,,,,,,,,,
96,CASA,sector 4,Constanza Diaz Sandoval,residente2casa96@vista.cl,19.926.527-K,56933505978,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
97,CASA,sector 4,Maximo Torres Sandoval,residente1casa97@vista.cl,18.891.787-9,56927997624,PROPIETARIO,SI,SI,SI,E-97,,,NSKH33,AUTO,Ford,EcoSport,Verde,WHSU17,AUTO,Peugeot,208,Rojo,,,,,,,,,,
97,CASA,sector 4,Joaquin Mendez Núñez,residente2casa97@vista.cl,13.411.424-K,56954327148,RESIDENTE_ADICIONAL,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
97,CASA,sector 4,Patricio Fuentes Soto,residente3casa97@vista.cl,18.986.473-6,56935566010,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
98,CASA,sector 4,Claudio Moreno Peña,residente1casa98@vista.cl,22.151.825-K,56985007641,PROPIETARIO,SI,SI,SI,E-98,,,,,,,,,,,,,,,,,,,,,,
99,CASA,sector 4,Sebastian Rios Cortes,residente1casa99@vista.cl,15.174.467-2,56945106207,PROPIETARIO,SI,SI,SI,E-99,,,AYZD71,AUTO,Nissan,Versa,Negro,FXOU58,AUTO,Honda,Civic,Plata,,,,,,,,,,
99,CASA,sector 4,Martin Henriquez Ramos,residente2casa99@vista.cl,17.818.250-1,56923234972,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
100,CASA,sector 4,Jorge Torres Hernandez,residente1casa100@vista.cl,12.557.039-9,56936332415,PROPIETARIO,SI,SI,SI,E-100,,,OFDG84,AUTO,Nissan,Qashqai,Rojo,,,,,,,,,,,,,,,
100,CASA,sector 4,Benjamin Gutierrez Carrasco,residente2casa100@vista.cl,19.559.481-3,56942981324,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
101,CASA,sector 4,Franco Diaz Moreno,residente1casa101@vista.cl,10.107.102-2,56965350347,PROPIETARIO,SI,SI,SI,E-101,,,MEUE79,CAMIONETA,Mitsubishi,L200,Plata,OQBA19,AUTO,Kia,Cerato,Verde,,,,,,,,,,
101,CASA,sector 4,Javiera Campos Gutierrez,residente2casa101@vista.cl,11.140.312-0,56930270856,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
102,CASA,sector 4,Antonella Briones Sepulveda,residente1casa102@vista.cl,14.042.786-1,56935760684,PROPIETARIO,SI,SI,SI,E-102,,,RANK12,AUTO,Renault,Clio,Rojo,ZAVR32,CAMIONETA,Mitsubishi,L200,Blanco,,,,,,,,,,
102,CASA,sector 4,Rodrigo Briones Núñez,residente2casa102@vista.cl,23.677.027-3,56957572279,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
103,CASA,sector 4,Agustin Carrasco Carrasco,residente1casa103@vista.cl,19.272.791-K,56973888323,PROPIETARIO,SI,SI,SI,E-103,,,RWQW14,AUTO,Honda,Civic,Blanco,,,,,,,,,,,,,,,
103,CASA,sector 4,Emilia Campos Gonzalez,residente2casa103@vista.cl,21.791.784-0,56933002714,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
104,CASA,sector 4,Josefa Pizarro Mendez,residente1casa104@vista.cl,19.507.579-4,56962231715,PROPIETARIO,SI,SI,SI,E-104,,,XFXR82,AUTO,Hyundai,Tucson,Plata,BYXO14,CAMIONETA,Chevrolet,Colorado,Negro,,FDVV19,MOTO,Nissan,Qashqai,Gris,,,,
104,CASA,sector 4,Juan Aguilera Valdes,residente2casa104@vista.cl,16.439.870-6,56928783850,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
105,CASA,sector 4,Vicente Diaz Contreras,propietario_casa105@vista.cl,17.333.124-K,56941157840,PROPIETARIO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
105,CASA,sector 4,Valentina Herrera Hernandez,residente1casa105@vista.cl,23.389.144-4,56943077929,ARRENDATARIO,SI,SI,SI,E-105,,,PPZI91,AUTO,Nissan,Qashqai,Gris,JYLR94,AUTO,Suzuki,Baleno,Plata,,,,,,,,,,
105,CASA,sector 4,Andres Perez Soto,residente3casa105@vista.cl,14.495.824-1,56930699187,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
105,CASA,sector 4,Trinidad Acosta Carrasco,residente4casa105@vista.cl,15.312.979-7,56958412365,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
106,CASA,sector 4,Diego Soto Molina,residente1casa106@vista.cl,20.033.509-0,56953544301,PROPIETARIO,SI,SI,SI,E-106,,,LONC21,AUTO,Hyundai,Accent,Gris,,,,,,,,,,,,,,,
106,CASA,sector 4,Mauricio Carrasco Gonzalez,residente2casa106@vista.cl,14.896.386-K,56965540647,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
107,CASA,sector 4,Cristian Herrera Carrasco,residente1casa107@vista.cl,23.490.164-8,56954230340,PROPIETARIO,SI,SI,SI,E-107,,,REGG28,AUTO,Peugeot,3008,Blanco,KMBG41,AUTO,Kia,Cerato,Azul,,QLDA60,CAMIONETA,Ford,Ranger,Gris,,,,
107,CASA,sector 4,Tomas Valdes Vargas,residente2casa107@vista.cl,23.681.408-4,56997380687,RESIDENTE_ADICIONAL,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
107,CASA,sector 4,Matias Molina Alvarez,residente3casa107@vista.cl,13.369.728-4,56974291599,RESIDENTE_ADICIONAL,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
108,CASA,sector 4,Agustina Tapia Hernandez,residente1casa108@vista.cl,23.946.594-3,56919282319,PROPIETARIO,SI,SI,SI,E-108,,,UIHU56,AUTO,Volkswagen,Gol,Blanco,ZETA69,AUTO,Peugeot,3008,Azul,,,,,,,,,,
108,CASA,sector 4,Roberto Torres Catalan,residente2casa108@vista.cl,18.376.917-0,56928680305,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
109,CASA,sector 4,Hernan Mendez Lopez,residente1casa109@vista.cl,21.151.712-3,56957648477,PROPIETARIO,SI,SI,SI,E-109,,,PPNY98,CAMIONETA,Toyota,Hilux,Plata,ZSVP20,MOTO,Peugeot,208,Blanco,,,,,,,,,,
109,CASA,sector 4,Josefa Rios Herrera,residente2casa109@vista.cl,10.743.175-6,56985594147,RESIDENTE_ADICIONAL,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
109,CASA,sector 4,Agustin Moreno Valdes,residente3casa109@vista.cl,23.358.540-8,56967774765,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
110,CASA,sector 4,Vicente Muñoz Vega,residente1casa110@vista.cl,11.754.047-2,56949652241,PROPIETARIO,SI,SI,SI,E-110,,,LKUP74,AUTO,Honda,Civic,Negro,,,,,,,,,,,,,,,
110,CASA,sector 4,Maximo Soto Silva,residente2casa110@vista.cl,23.947.197-8,56929015320,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
110,CASA,sector 4,Alvaro Ortiz Briones,residente3casa110@vista.cl,18.102.153-5,56956748074,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
111,CASA,sector 4,Maite Sandoval Morales,residente1casa111@vista.cl,15.553.084-7,56985141654,PROPIETARIO,SI,SI,SI,E-111,,,WQRE41,AUTO,Honda,Civic,Rojo,,,,,,,,,,,,,,,
111,CASA,sector 4,Lucas Ortiz Gutierrez,residente2casa111@vista.cl,23.384.121-8,56964364546,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
112,CASA,sector 4,Santiago Briones Campos,residente1casa112@vista.cl,15.258.048-7,56990124068,PROPIETARIO,SI,SI,SI,E-112,,,LAFH18,AUTO,Kia,Sportage,Rojo,NJFC95,AUTO,Hyundai,Tucson,Verde,,,,,,,,,,
